 Time   rO       P       Q       R       S      rT
 0       0-o0P   3       3       3       9       0-t0S
 1       0       2-o1O   3       3       6-t3T   0
 2       1-o0P   2       3       3       6       3-t0S
 3       1       1-o1O   3       3       3-t3T   3
 4       2-o0P   1       3       3       3       6-t0S
 5       2       0-o1O   3       3       0-t3T   6
 6       3-o0Q   0       3       3       0       9-t0R
 7       3       0-o0Q   3       3       0-t0R   9
 8       3       0       2-o1O   0-t3T   0       9
 9       3       0-o1O   2       0       0-t3T   9
10       4-o0Q   0       2       0       0      12-t0Q
11       4       0-o0Q   2       0       0-t0Q  12
12       4       0       1-o1O   0-t0Q   0      12
13       4       0-o1O   0-t1T   0       0      12
14       5-o0    0       0       0-t1T   0      12
15       5-o0    0       0       0       0-t1T  12
16       5-o0    0       0       0       0      13-t0
