 Time   rO       P       Q       R       S      rT
 0       0-o0P   4       6       7       5       0-t0R
 1       0       3-o1O   6       7       5-t0R   0
 2       1-o0P   3       6       4-t3T   5       0
 3       1       2-o1O   6       4       5-t3T   0
 4       2-o0P   2       6       4       5       3-t0Q
 5       2       1-o1O   6       4       5-t0Q   3
 6       3-o0P   1       6       4-t0Q   5       3
 7       3       0-o1O   3-t3T   4       5       3
 8       4-o0Q   0       3       4-t3T   5       3
 9       4       0-o0Q   3       4       5-t3T   3
10       4       0       2-o1O   4       5       6-t0S
11       4       0-o1O   2       4       2-t3T   6
12       5-o0Q   0       2       4       2       9-t0R
13       5       0-o0Q   2       4       2-t0R   9
14       5       0       1-o1O   1-t3T   2       9
15       5       0-o1O   1       1       2-t3T   9
16       6-o0Q   0       1       1       2      12-t0S
17       6       0-o0Q   1       1       0-t2T  12
18       6       0       0-o1O   1       0      14-t0R
19       6       0-o1O   0       1       0-t0R  14
20       7-o0    0       0       0-t1T   0      14
21       7-o0    0       0       0       0-t1T  14
22       7-o0    0       0       0       0      15-t0
