 Time   rO       P       Q       R       S      rT
 0       0-o0P   1       2       3       4       0-t0S
 1       0       0-o1O   2       3       1-t3T   0
 2       1-o0S   0       2       3       1       3-t0R
 3       1       0-o0S   2       3       1-t0R   3
 4       1       0       2-o0S   0-t3T   1       3
 5       1       0       2       0-o0S   1-t3T   3
 6       1       0       2       0       0-o1O   6-t0Q
 7       1       0       2       0-o1O   0-t0Q   6
 8       1       0       2-o1O   0-t0Q   0       6
 9       1       0-o1O   0-t2T   0       0       6
10       2-o0    0       0       0-t2T   0       6
11       2-o0    0       0       0       0-t2T   6
12       2-o0    0       0       0       0       8-t0
